X,Y,date_modified,uuid,source_url,name,type,completeness,version,upstream,what3words,source,raw-source,nature-of-facility,url,physical-address
#geo+lat,#geo+long,#date+modified,,,#loc+name,#loc+type,,,,#geo+what3words,,,,,
27.4848926,-11.634045,2015-11-17T09:43:57.838Z,0d65ee69ae544f14937962d1e4c8bfc6,http://www.openstreetmap.org/node/3719962577,AFia Don Bosco,hospital,35.29%,2,openstreetmap¶n3719962577,opposing.apple.ruling,OpenStreetMap,,,,
30.8461,3.33378,2016-04-06T10:05:35.841Z,849af6fffdf64cadb00a0e5b798c61bb,https://www.msf.org/,Abedju,,35.29%,2,Médecins Sans Frontières¶1935,delimit.disclaimers.arguments,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.36909,3.32692,2016-04-06T10:05:35.841Z,794241e6fca84c2a931bae4ea2a32cf7,https://www.msf.org/,Abhava,,35.29%,2,Médecins Sans Frontières¶1936,shelling.octagon.scowl,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.70132,2.94382,2016-04-06T10:05:35.841Z,6792e6401cb24440a07ec53ef590da8e,https://www.msf.org/,Abiridio,,35.29%,2,Médecins Sans Frontières¶1937,flinched.curricula.plug,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.477868,3.01555,2016-04-06T10:05:35.841Z,6cfaf8d15ea24ce883a104e2460829f8,https://www.msf.org/,Adja,,35.29%,2,Médecins Sans Frontières¶1909,expositions.bruiser.cornflower,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,general hospital,,
30.57243,2.98519,2016-04-06T10:05:35.841Z,a2cbdf2415c3456ab268cf6236282bcb,https://www.msf.org/,Adobhea,,35.29%,2,Médecins Sans Frontières¶1938,maternally.curbed.untoward,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.60266667,2.969166667,2016-04-06T10:05:35.841Z,06f52cc902de47279c11c526b2423b54,https://www.msf.org/,Adua,,35.29%,2,Médecins Sans Frontières¶1939,worry.confusedly.journeyed,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
28.46948856,3.109609156,2016-04-06T10:05:35.841Z,82d2ba4719a1433693c65aa4b149bb22,https://www.msf.org/,Afu,,35.29%,2,Médecins Sans Frontières¶2045,unemotional.homeruns.nipping,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.62046667,2.980883333,2016-04-06T10:05:35.841Z,5e4cf4ccdd724936ae4efda02fe66301,https://www.msf.org/,Akaba,,35.29%,2,Médecins Sans Frontières¶1966,texting.inauthentic.tousles,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health post,,
30.51653,3.18181,2016-04-06T10:05:35.841Z,a775ff1e73204beea968ba6f5eb6b59d,https://www.msf.org/,Aloga,,35.29%,2,Médecins Sans Frontières¶1940,eliminating.listed.gridlock,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
30.62625,3.16025,2016-04-06T10:05:35.841Z,cad758b603e648aa9be49a617715e311,https://www.msf.org/,Amati,,35.29%,2,Médecins Sans Frontières¶1941,constructions.toppings.techy,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
13.059518,-5.8520132,2016-05-31T19:38:30Z,7f01c9c6cc684ddea65f9f7592acf448,http://www.openstreetmap.org/node/4218019341,Ancien Hôpital de la Croix-Rouge,hospital,29.41%,2,OpenStreetMap¶n4218019341,childcare.desire.tasks,OpenStreetMap,,,,
30.57057,3.09193,2016-04-06T10:05:35.841Z,e64d6f80125e423daf1152bd13b7f209,https://www.msf.org/,Angako,,35.29%,2,Médecins Sans Frontières¶1942,beanbags.clippers.duds,Médecins Sans Frontières,https://data.hdx.rwlabs.org/dataset/east-congo-healthsites,health center,,
