Origin,Destination,Travel_Time
ABA,POE_Adumi,18571
ABA,POE_Bango,950
ABA,POE_Bugarama,53672
ABA,POE_Buhumba,42480
ABA,POE_Bujerere,43894
ABA,POE_Bunagana,41731
ABA,POE_Busengo,49683
ABA,POE_Goli,24712
ABA,POE_Goma,45646
ABA,POE_Ishasha,43462
ABA,POE_Kasindi,32239
ABA,POE_Kijoro,17917
ABA,POE_Kiyonga,33920
ABA,POE_Kyesero,50325
ABA,POE_Lushoze,51993
ABA,POE_Muhungu,53291
ABA,POE_Nabiapai,20838
ABA,POE_Onder,20568
ABA,POE_Parombo,36480
ABA,POE_Vura,17586
ABUZI,POE_Adumi,85882
ABUZI,POE_Bango,71223
ABUZI,POE_Bugarama,75185
ABUZI,POE_Buhumba,78989
ABUZI,POE_Bujerere,93536
ABUZI,POE_Bunagana,81974
ABUZI,POE_Busengo,90554
ABUZI,POE_Goli,80883
ABUZI,POE_Goma,79413
ABUZI,POE_Ishasha,88016
ABUZI,POE_Kasindi,79067
ABUZI,POE_Kijoro,86536
ABUZI,POE_Kiyonga,90811
ABUZI,POE_Kyesero,94879
ABUZI,POE_Lushoze,73506
ABUZI,POE_Muhungu,74804
ABUZI,POE_Nabiapai,64436
ABUZI,POE_Onder,79034
ABUZI,POE_Parombo,93371
ABUZI,POE_Vura,82774
ADI,POE_Adumi,12959
ADI,POE_Bango,10559
ADI,POE_Bugarama,58457
ADI,POE_Buhumba,47265
ADI,POE_Bujerere,48679
ADI,POE_Bunagana,46516
ADI,POE_Busengo,54468
ADI,POE_Goli,18058
ADI,POE_Goma,50430
ADI,POE_Ishasha,48247
ADI,POE_Kasindi,37024
ADI,POE_Kijoro,13613
ADI,POE_Kiyonga,26184
ADI,POE_Kyesero,55110
ADI,POE_Lushoze,56778
ADI,POE_Muhungu,58075
ADI,POE_Nabiapai,30446
ADI,POE_Onder,14151
ADI,POE_Parombo,28744
ADI,POE_Vura,9851
ADJA,POE_Adumi,9659
ADJA,POE_Bango,14366
ADJA,POE_Bugarama,52634
ADJA,POE_Buhumba,41443
ADJA,POE_Bujerere,42856
ADJA,POE_Bunagana,40693
ADJA,POE_Busengo,48645
ADJA,POE_Goli,14758
ADJA,POE_Goma,44608
ADJA,POE_Ishasha,42424
ADJA,POE_Kasindi,31201
ADJA,POE_Kijoro,10313
ADJA,POE_Kiyonga,22885
ADJA,POE_Kyesero,49287
ADJA,POE_Lushoze,50955
ADJA,POE_Muhungu,52253
ADJA,POE_Nabiapai,34254
ADJA,POE_Onder,9282
ADJA,POE_Parombo,25445
ADJA,POE_Vura,6551
AKETI,POE_Adumi,64626
AKETI,POE_Bango,49967
AKETI,POE_Bugarama,53929
AKETI,POE_Buhumba,57732
AKETI,POE_Bujerere,72280
AKETI,POE_Bunagana,60718
AKETI,POE_Busengo,69298
AKETI,POE_Goli,59627
AKETI,POE_Goma,58157
AKETI,POE_Ishasha,66759
AKETI,POE_Kasindi,57810
AKETI,POE_Kijoro,65280
AKETI,POE_Kiyonga,69555
AKETI,POE_Kyesero,73622
AKETI,POE_Lushoze,52250
AKETI,POE_Muhungu,53547
AKETI,POE_Nabiapai,51365
AKETI,POE_Onder,57777
AKETI,POE_Parombo,72115
AKETI,POE_Vura,61518
ALIMBONGO,POE_Adumi,36875
ALIMBONGO,POE_Bango,38775
ALIMBONGO,POE_Bugarama,23706
ALIMBONGO,POE_Buhumba,12514
ALIMBONGO,POE_Bujerere,27910
ALIMBONGO,POE_Bunagana,11765
ALIMBONGO,POE_Busengo,19717
ALIMBONGO,POE_Goli,25901
ALIMBONGO,POE_Goma,15679
ALIMBONGO,POE_Ishasha,13495
ALIMBONGO,POE_Kasindi,13441
ALIMBONGO,POE_Kijoro,37529
ALIMBONGO,POE_Kiyonga,35829
ALIMBONGO,POE_Kyesero,20358
ALIMBONGO,POE_Lushoze,22026
ALIMBONGO,POE_Muhungu,23324
ALIMBONGO,POE_Nabiapai,52610
ALIMBONGO,POE_Onder,29124
ALIMBONGO,POE_Parombo,38389
ALIMBONGO,POE_Vura,34108
ALUNGULI,POE_Adumi,75831
ALUNGULI,POE_Bango,71553
ALUNGULI,POE_Bugarama,33119
ALUNGULI,POE_Buhumba,39582
ALUNGULI,POE_Bujerere,70928
ALUNGULI,POE_Bunagana,42568
ALUNGULI,POE_Busengo,51148
ALUNGULI,POE_Goli,64857
ALUNGULI,POE_Goma,40006
ALUNGULI,POE_Ishasha,48609
ALUNGULI,POE_Kasindi,57013
ALUNGULI,POE_Kijoro,76485
ALUNGULI,POE_Kiyonga,74786
ALUNGULI,POE_Kyesero,55472
ALUNGULI,POE_Lushoze,31440
ALUNGULI,POE_Muhungu,32738
ALUNGULI,POE_Nabiapai,73705
ALUNGULI,POE_Onder,68081
ALUNGULI,POE_Parombo,77346
ALUNGULI,POE_Vura,73065
ANGO,POE_Adumi,73929
ANGO,POE_Bango,59270
ANGO,POE_Bugarama,78033
ANGO,POE_Buhumba,78535
ANGO,POE_Bujerere,83160
ANGO,POE_Bunagana,77786
ANGO,POE_Busengo,85738
ANGO,POE_Goli,68930
ANGO,POE_Goma,81700
ANGO,POE_Ishasha,79517
ANGO,POE_Kasindi,68691
ANGO,POE_Kijoro,74583
