	health_zone	total_c_projected	%of_NK_total_c_projected	%of_top10_total_c_projected
1	KATWA	49.310896476206835	31.200697334762413	51.13835413902152
2	BUTEMBO	12.170756732637528	7.700855678689051	12.621803950244773
3	MUSIENENE	5.143679687666008	3.2545827512843775	5.3343040228943295
4	KYONDO	5.1280215652659535	3.2446753196060567	5.318065611799279
5	LUBERO	4.871107300277799	3.0821168427642065	5.051630125827735
6	VUHOVI	4.370704424130963	2.76549476124039	4.532682361312255
7	MUTWANGA	4.305806256597862	2.724431462304869	4.465379073166142
8	MASEREKA	4.238098369678482	2.681590357439392	4.395161937670364
9	KAYNA	3.4939645914710127	2.210751365460667	3.623450624428612
10	OICHA	3.3934087130473927	2.1471262085049347	3.5191681536349875
